Neighborhood,Count
Allegheny Center,82
Allegheny West,11
Allentown,70
Arlington,39
Arlington Heights,20
Banksville,30
Bedford Dwellings,67
Beechview,97
Beltzhoover,20
Bloomfield,72
Bluff,155
Bon Air,23
Brighton Heights,103
Brookline,146
California-Kirkbride,44
Carrick,189
Central Business District,749
Central Lawrenceville,25
Central Oakland,42
Chateau,49
Crafton Heights,66
Crawford-Roberts,81
Duquesne Heights,11
East Allegheny,256
East Hills,144
East Liberty,189
Elliott,54
Esplen,12
Fairywood,17
Fineview,32
Friendship,21
Glen Hazel,17
Greenfield,52
Hays,16
Hazelwood,134
Highland Park,46
Homewood North,175
Homewood South,183
Homewood West,46
Knoxville,114
Larimer,89
Lincoln Place,26
Lower Lawrenceville,27
Manchester,28
Marshall-Shadeland,146
Middle Hill,69
Morningside,9
Mount Oliver,12
Mount Washington,109
North Oakland,52
North Shore,73
Northview Heights,66
Oakwood,3
Overbrook,39
Perry North,26
Perry South,83
Point Breeze,15
Polish Hill,20
Regent Square,4
Ridgemont,4
Shadyside,88
Sheraden,116
South Oakland,35
South Shore,25
South Side Flats,365
South Side Slopes,65
Spring Garden,16
Squirrel Hill North,29
Squirrel Hill South,58
Stanton Heights,17
Strip District,39
Summer Hill,11
Swisshelm Park,4
Terrace Village,33
Troy Hill,46
Upper Hill,32
Upper Lawrenceville,16
West End,29
West Oakland,44
Westwood,20
